"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/06/2018 19:00:00 - 02/06/2018 20:00:00","BZN|FR","Without Sequence","32.09","",""
"02/06/2018 20:00:00 - 02/06/2018 21:00:00","BZN|FR","Without Sequence","28.23","",""
"02/06/2018 21:00:00 - 02/06/2018 22:00:00","BZN|FR","Without Sequence","29.32","",""
"02/06/2018 22:00:00 - 02/06/2018 23:00:00","BZN|FR","Without Sequence","47.00","",""
"02/06/2018 23:00:00 - 03/06/2018 00:00:00","BZN|FR","Without Sequence","47.00","",""
"03/06/2018 00:00:00 - 03/06/2018 01:00:00","BZN|FR","Without Sequence","35.97","",""
"03/06/2018 01:00:00 - 03/06/2018 02:00:00","BZN|FR","Without Sequence","29.48","",""
"03/06/2018 02:00:00 - 03/06/2018 03:00:00","BZN|FR","Without Sequence","26.77","",""
"03/06/2018 03:00:00 - 03/06/2018 04:00:00","BZN|FR","Without Sequence","19.37","",""
"03/06/2018 04:00:00 - 03/06/2018 05:00:00","BZN|FR","Without Sequence","13.15","",""
"03/06/2018 05:00:00 - 03/06/2018 06:00:00","BZN|FR","Without Sequence","8.77","",""
"03/06/2018 06:00:00 - 03/06/2018 07:00:00","BZN|FR","Without Sequence","9.61","",""
"03/06/2018 07:00:00 - 03/06/2018 08:00:00","BZN|FR","Without Sequence","13.39","",""
"03/06/2018 08:00:00 - 03/06/2018 09:00:00","BZN|FR","Without Sequence","14.96","",""
"03/06/2018 09:00:00 - 03/06/2018 10:00:00","BZN|FR","Without Sequence","17.28","",""
"03/06/2018 10:00:00 - 03/06/2018 11:00:00","BZN|FR","Without Sequence","15.76","",""
"03/06/2018 11:00:00 - 03/06/2018 12:00:00","BZN|FR","Without Sequence","19.48","",""
"03/06/2018 12:00:00 - 03/06/2018 13:00:00","BZN|FR","Without Sequence","21.22","",""
"03/06/2018 13:00:00 - 03/06/2018 14:00:00","BZN|FR","Without Sequence","20.65","",""
"03/06/2018 14:00:00 - 03/06/2018 15:00:00","BZN|FR","Without Sequence","20.14","",""
"03/06/2018 15:00:00 - 03/06/2018 16:00:00","BZN|FR","Without Sequence","18.81","",""
"03/06/2018 16:00:00 - 03/06/2018 17:00:00","BZN|FR","Without Sequence","14.60","",""
"03/06/2018 17:00:00 - 03/06/2018 18:00:00","BZN|FR","Without Sequence","18.70","",""
"03/06/2018 18:00:00 - 03/06/2018 19:00:00","BZN|FR","Without Sequence","27.60","",""
"03/06/2018 19:00:00 - 03/06/2018 20:00:00","BZN|FR","Without Sequence","36.37","",""
"03/06/2018 20:00:00 - 03/06/2018 21:00:00","BZN|FR","Without Sequence","32.63","",""
"03/06/2018 21:00:00 - 03/06/2018 22:00:00","BZN|FR","Without Sequence","32.04","",""
"03/06/2018 22:00:00 - 03/06/2018 23:00:00","BZN|FR","Without Sequence","39.09","",""
"03/06/2018 23:00:00 - 04/06/2018 00:00:00","BZN|FR","Without Sequence","39.09","",""
"04/06/2018 00:00:00 - 04/06/2018 01:00:00","BZN|FR","Without Sequence","35.57","",""
"04/06/2018 01:00:00 - 04/06/2018 02:00:00","BZN|FR","Without Sequence","23.69","",""
"04/06/2018 02:00:00 - 04/06/2018 03:00:00","BZN|FR","Without Sequence","18.49","",""
"04/06/2018 03:00:00 - 04/06/2018 04:00:00","BZN|FR","Without Sequence","11.21","",""
"04/06/2018 04:00:00 - 04/06/2018 05:00:00","BZN|FR","Without Sequence","15.24","",""
"04/06/2018 05:00:00 - 04/06/2018 06:00:00","BZN|FR","Without Sequence","20.42","",""
"04/06/2018 06:00:00 - 04/06/2018 07:00:00","BZN|FR","Without Sequence","31.86","",""
"04/06/2018 07:00:00 - 04/06/2018 08:00:00","BZN|FR","Without Sequence","54.23","",""
"04/06/2018 08:00:00 - 04/06/2018 09:00:00","BZN|FR","Without Sequence","61.59","",""
"04/06/2018 09:00:00 - 04/06/2018 10:00:00","BZN|FR","Without Sequence","60.12","",""
"04/06/2018 10:00:00 - 04/06/2018 11:00:00","BZN|FR","Without Sequence","59.80","",""
"04/06/2018 11:00:00 - 04/06/2018 12:00:00","BZN|FR","Without Sequence","60.27","",""
"04/06/2018 12:00:00 - 04/06/2018 13:00:00","BZN|FR","Without Sequence","58.16","",""
"04/06/2018 13:00:00 - 04/06/2018 14:00:00","BZN|FR","Without Sequence","55.35","",""
"04/06/2018 14:00:00 - 04/06/2018 15:00:00","BZN|FR","Without Sequence","52.25","",""
"04/06/2018 15:00:00 - 04/06/2018 16:00:00","BZN|FR","Without Sequence","48.95","",""
"04/06/2018 16:00:00 - 04/06/2018 17:00:00","BZN|FR","Without Sequence","48.12","",""
"04/06/2018 17:00:00 - 04/06/2018 18:00:00","BZN|FR","Without Sequence","56.07","",""
"04/06/2018 18:00:00 - 04/06/2018 19:00:00","BZN|FR","Without Sequence","58.27","",""
"04/06/2018 19:00:00 - 04/06/2018 20:00:00","BZN|FR","Without Sequence","61.79","",""
"04/06/2018 20:00:00 - 04/06/2018 21:00:00","BZN|FR","Without Sequence","57.95","",""
"04/06/2018 21:00:00 - 04/06/2018 22:00:00","BZN|FR","Without Sequence","52.93","",""
"04/06/2018 22:00:00 - 04/06/2018 23:00:00","BZN|FR","Without Sequence","50.93","",""
"04/06/2018 23:00:00 - 05/06/2018 00:00:00","BZN|FR","Without Sequence","50.93","",""
"05/06/2018 00:00:00 - 05/06/2018 01:00:00","BZN|FR","Without Sequence","43.80","",""
"05/06/2018 01:00:00 - 05/06/2018 02:00:00","BZN|FR","Without Sequence","41.21","",""
"05/06/2018 02:00:00 - 05/06/2018 03:00:00","BZN|FR","Without Sequence","39.44","",""
"05/06/2018 03:00:00 - 05/06/2018 04:00:00","BZN|FR","Without Sequence","37.58","",""
"05/06/2018 04:00:00 - 05/06/2018 05:00:00","BZN|FR","Without Sequence","32.64","",""
"05/06/2018 05:00:00 - 05/06/2018 06:00:00","BZN|FR","Without Sequence","39.52","",""
"05/06/2018 06:00:00 - 05/06/2018 07:00:00","BZN|FR","Without Sequence","50.26","",""
"05/06/2018 07:00:00 - 05/06/2018 08:00:00","BZN|FR","Without Sequence","58.01","",""
"05/06/2018 08:00:00 - 05/06/2018 09:00:00","BZN|FR","Without Sequence","62.80","",""
"05/06/2018 09:00:00 - 05/06/2018 10:00:00","BZN|FR","Without Sequence","63.90","",""
"05/06/2018 10:00:00 - 05/06/2018 11:00:00","BZN|FR","Without Sequence","63.79","",""
"05/06/2018 11:00:00 - 05/06/2018 12:00:00","BZN|FR","Without Sequence","62.80","",""
"05/06/2018 12:00:00 - 05/06/2018 13:00:00","BZN|FR","Without Sequence","56.29","",""
"05/06/2018 13:00:00 - 05/06/2018 14:00:00","BZN|FR","Without Sequence","55.43","",""
"05/06/2018 14:00:00 - 05/06/2018 15:00:00","BZN|FR","Without Sequence","51.11","",""
"05/06/2018 15:00:00 - 05/06/2018 16:00:00","BZN|FR","Without Sequence","49.96","",""
"05/06/2018 16:00:00 - 05/06/2018 17:00:00","BZN|FR","Without Sequence","49.90","",""
"05/06/2018 17:00:00 - 05/06/2018 18:00:00","BZN|FR","Without Sequence","53.78","",""
"05/06/2018 18:00:00 - 05/06/2018 19:00:00","BZN|FR","Without Sequence","59.46","",""
"05/06/2018 19:00:00 - 05/06/2018 20:00:00","BZN|FR","Without Sequence","62.70","",""
"05/06/2018 20:00:00 - 05/06/2018 21:00:00","BZN|FR","Without Sequence","58.09","",""
"05/06/2018 21:00:00 - 05/06/2018 22:00:00","BZN|FR","Without Sequence","52.89","",""
"05/06/2018 22:00:00 - 05/06/2018 23:00:00","BZN|FR","Without Sequence","56.37","",""
"05/06/2018 23:00:00 - 06/06/2018 00:00:00","BZN|FR","Without Sequence","56.37","",""
"06/06/2018 00:00:00 - 06/06/2018 01:00:00","BZN|FR","Without Sequence","44.99","",""
"06/06/2018 01:00:00 - 06/06/2018 02:00:00","BZN|FR","Without Sequence","41.16","",""
"06/06/2018 02:00:00 - 06/06/2018 03:00:00","BZN|FR","Without Sequence","39.53","",""
"06/06/2018 03:00:00 - 06/06/2018 04:00:00","BZN|FR","Without Sequence","34.59","",""
"06/06/2018 04:00:00 - 06/06/2018 05:00:00","BZN|FR","Without Sequence","31.73","",""
"06/06/2018 05:00:00 - 06/06/2018 06:00:00","BZN|FR","Without Sequence","35.93","",""
"06/06/2018 06:00:00 - 06/06/2018 07:00:00","BZN|FR","Without Sequence","42.87","",""
"06/06/2018 07:00:00 - 06/06/2018 08:00:00","BZN|FR","Without Sequence","56.92","",""
"06/06/2018 08:00:00 - 06/06/2018 09:00:00","BZN|FR","Without Sequence","65.00","",""
"06/06/2018 09:00:00 - 06/06/2018 10:00:00","BZN|FR","Without Sequence","65.65","",""
"06/06/2018 10:00:00 - 06/06/2018 11:00:00","BZN|FR","Without Sequence","60.58","",""
"06/06/2018 11:00:00 - 06/06/2018 12:00:00","BZN|FR","Without Sequence","57.00","",""
"06/06/2018 12:00:00 - 06/06/2018 13:00:00","BZN|FR","Without Sequence","52.67","",""
"06/06/2018 13:00:00 - 06/06/2018 14:00:00","BZN|FR","Without Sequence","52.55","",""
"06/06/2018 14:00:00 - 06/06/2018 15:00:00","BZN|FR","Without Sequence","50.42","",""
"06/06/2018 15:00:00 - 06/06/2018 16:00:00","BZN|FR","Without Sequence","49.98","",""
"06/06/2018 16:00:00 - 06/06/2018 17:00:00","BZN|FR","Without Sequence","52.90","",""
"06/06/2018 17:00:00 - 06/06/2018 18:00:00","BZN|FR","Without Sequence","58.24","",""
"06/06/2018 18:00:00 - 06/06/2018 19:00:00","BZN|FR","Without Sequence","61.25","",""
"06/06/2018 19:00:00 - 06/06/2018 20:00:00","BZN|FR","Without Sequence","63.31","",""
"06/06/2018 20:00:00 - 06/06/2018 21:00:00","BZN|FR","Without Sequence","59.39","",""
"06/06/2018 21:00:00 - 06/06/2018 22:00:00","BZN|FR","Without Sequence","53.01","",""
"06/06/2018 22:00:00 - 06/06/2018 23:00:00","BZN|FR","Without Sequence","52.78","",""
"06/06/2018 23:00:00 - 07/06/2018 00:00:00","BZN|FR","Without Sequence","52.78","",""
"07/06/2018 00:00:00 - 07/06/2018 01:00:00","BZN|FR","Without Sequence","41.67","",""
"07/06/2018 01:00:00 - 07/06/2018 02:00:00","BZN|FR","Without Sequence","40.43","",""
"07/06/2018 02:00:00 - 07/06/2018 03:00:00","BZN|FR","Without Sequence","39.41","",""
"07/06/2018 03:00:00 - 07/06/2018 04:00:00","BZN|FR","Without Sequence","39.00","",""
"07/06/2018 04:00:00 - 07/06/2018 05:00:00","BZN|FR","Without Sequence","34.27","",""
"07/06/2018 05:00:00 - 07/06/2018 06:00:00","BZN|FR","Without Sequence","39.37","",""
"07/06/2018 06:00:00 - 07/06/2018 07:00:00","BZN|FR","Without Sequence","43.17","",""
"07/06/2018 07:00:00 - 07/06/2018 08:00:00","BZN|FR","Without Sequence","54.78","",""
"07/06/2018 08:00:00 - 07/06/2018 09:00:00","BZN|FR","Without Sequence","60.95","",""
"07/06/2018 09:00:00 - 07/06/2018 10:00:00","BZN|FR","Without Sequence","62.79","",""
"07/06/2018 10:00:00 - 07/06/2018 11:00:00","BZN|FR","Without Sequence","58.67","",""
"07/06/2018 11:00:00 - 07/06/2018 12:00:00","BZN|FR","Without Sequence","57.79","",""
"07/06/2018 12:00:00 - 07/06/2018 13:00:00","BZN|FR","Without Sequence","56.13","",""
"07/06/2018 13:00:00 - 07/06/2018 14:00:00","BZN|FR","Without Sequence","54.50","",""
"07/06/2018 14:00:00 - 07/06/2018 15:00:00","BZN|FR","Without Sequence","50.77","",""
"07/06/2018 15:00:00 - 07/06/2018 16:00:00","BZN|FR","Without Sequence","51.89","",""
"07/06/2018 16:00:00 - 07/06/2018 17:00:00","BZN|FR","Without Sequence","54.23","",""
"07/06/2018 17:00:00 - 07/06/2018 18:00:00","BZN|FR","Without Sequence","57.94","",""
"07/06/2018 18:00:00 - 07/06/2018 19:00:00","BZN|FR","Without Sequence","64.60","",""
"07/06/2018 19:00:00 - 07/06/2018 20:00:00","BZN|FR","Without Sequence","65.51","",""
"07/06/2018 20:00:00 - 07/06/2018 21:00:00","BZN|FR","Without Sequence","55.08","",""
"07/06/2018 21:00:00 - 07/06/2018 22:00:00","BZN|FR","Without Sequence","54.66","",""
"07/06/2018 22:00:00 - 07/06/2018 23:00:00","BZN|FR","Without Sequence","57.07","",""
"07/06/2018 23:00:00 - 08/06/2018 00:00:00","BZN|FR","Without Sequence","57.07","",""
"08/06/2018 00:00:00 - 08/06/2018 01:00:00","BZN|FR","Without Sequence","45.69","",""
"08/06/2018 01:00:00 - 08/06/2018 02:00:00","BZN|FR","Without Sequence","43.53","",""
"08/06/2018 02:00:00 - 08/06/2018 03:00:00","BZN|FR","Without Sequence","42.53","",""
"08/06/2018 03:00:00 - 08/06/2018 04:00:00","BZN|FR","Without Sequence","36.09","",""
"08/06/2018 04:00:00 - 08/06/2018 05:00:00","BZN|FR","Without Sequence","33.70","",""
"08/06/2018 05:00:00 - 08/06/2018 06:00:00","BZN|FR","Without Sequence","37.99","",""
"08/06/2018 06:00:00 - 08/06/2018 07:00:00","BZN|FR","Without Sequence","45.08","",""
"08/06/2018 07:00:00 - 08/06/2018 08:00:00","BZN|FR","Without Sequence","55.09","",""
"08/06/2018 08:00:00 - 08/06/2018 09:00:00","BZN|FR","Without Sequence","61.00","",""
"08/06/2018 09:00:00 - 08/06/2018 10:00:00","BZN|FR","Without Sequence","63.56","",""
"08/06/2018 10:00:00 - 08/06/2018 11:00:00","BZN|FR","Without Sequence","56.20","",""
"08/06/2018 11:00:00 - 08/06/2018 12:00:00","BZN|FR","Without Sequence","60.98","",""
"08/06/2018 12:00:00 - 08/06/2018 13:00:00","BZN|FR","Without Sequence","58.04","",""
"08/06/2018 13:00:00 - 08/06/2018 14:00:00","BZN|FR","Without Sequence","55.37","",""
"08/06/2018 14:00:00 - 08/06/2018 15:00:00","BZN|FR","Without Sequence","52.04","",""
"08/06/2018 15:00:00 - 08/06/2018 16:00:00","BZN|FR","Without Sequence","49.19","",""
"08/06/2018 16:00:00 - 08/06/2018 17:00:00","BZN|FR","Without Sequence","48.94","",""
"08/06/2018 17:00:00 - 08/06/2018 18:00:00","BZN|FR","Without Sequence","53.02","",""
"08/06/2018 18:00:00 - 08/06/2018 19:00:00","BZN|FR","Without Sequence","46.28","",""
"08/06/2018 19:00:00 - 08/06/2018 20:00:00","BZN|FR","Without Sequence","50.81","",""
"08/06/2018 20:00:00 - 08/06/2018 21:00:00","BZN|FR","Without Sequence","48.91","",""
"08/06/2018 21:00:00 - 08/06/2018 22:00:00","BZN|FR","Without Sequence","49.18","",""
"08/06/2018 22:00:00 - 08/06/2018 23:00:00","BZN|FR","Without Sequence","50.40","",""
"08/06/2018 23:00:00 - 09/06/2018 00:00:00","BZN|FR","Without Sequence","50.40","",""
"09/06/2018 00:00:00 - 09/06/2018 01:00:00","BZN|FR","Without Sequence","46.08","",""
"09/06/2018 01:00:00 - 09/06/2018 02:00:00","BZN|FR","Without Sequence","40.81","",""
"09/06/2018 02:00:00 - 09/06/2018 03:00:00","BZN|FR","Without Sequence","35.77","",""
"09/06/2018 03:00:00 - 09/06/2018 04:00:00","BZN|FR","Without Sequence","32.13","",""
"09/06/2018 04:00:00 - 09/06/2018 05:00:00","BZN|FR","Without Sequence","32.35","",""
"09/06/2018 05:00:00 - 09/06/2018 06:00:00","BZN|FR","Without Sequence","32.29","",""
"09/06/2018 06:00:00 - 09/06/2018 07:00:00","BZN|FR","Without Sequence","31.27","",""
"09/06/2018 07:00:00 - 09/06/2018 08:00:00","BZN|FR","Without Sequence","35.32","",""
"09/06/2018 08:00:00 - 09/06/2018 09:00:00","BZN|FR","Without Sequence","42.14","",""
"09/06/2018 09:00:00 - 09/06/2018 10:00:00","BZN|FR","Without Sequence","39.81","",""
"09/06/2018 10:00:00 - 09/06/2018 11:00:00","BZN|FR","Without Sequence","37.84","",""
"09/06/2018 11:00:00 - 09/06/2018 12:00:00","BZN|FR","Without Sequence","40.34","",""
"09/06/2018 12:00:00 - 09/06/2018 13:00:00","BZN|FR","Without Sequence","40.00","",""
"09/06/2018 13:00:00 - 09/06/2018 14:00:00","BZN|FR","Without Sequence","39.57","",""
"09/06/2018 14:00:00 - 09/06/2018 15:00:00","BZN|FR","Without Sequence","38.95","",""
"09/06/2018 15:00:00 - 09/06/2018 16:00:00","BZN|FR","Without Sequence","39.48","",""
"09/06/2018 16:00:00 - 09/06/2018 17:00:00","BZN|FR","Without Sequence","39.00","",""
"09/06/2018 17:00:00 - 09/06/2018 18:00:00","BZN|FR","Without Sequence","40.66","",""
"09/06/2018 18:00:00 - 09/06/2018 19:00:00","BZN|FR","Without Sequence","43.77","",""
"09/06/2018 19:00:00 - 09/06/2018 20:00:00","BZN|FR","Without Sequence","45.82","",""
"09/06/2018 20:00:00 - 09/06/2018 21:00:00","BZN|FR","Without Sequence","40.78","",""
"09/06/2018 21:00:00 - 09/06/2018 22:00:00","BZN|FR","Without Sequence","41.07","",""
"09/06/2018 22:00:00 - 09/06/2018 23:00:00","BZN|FR","Without Sequence","50.00","",""
"09/06/2018 23:00:00 - 10/06/2018 00:00:00","BZN|FR","Without Sequence","50.00","",""
"10/06/2018 00:00:00 - 10/06/2018 01:00:00","BZN|FR","Without Sequence","46.76","",""
"10/06/2018 01:00:00 - 10/06/2018 02:00:00","BZN|FR","Without Sequence","38.87","",""
"10/06/2018 02:00:00 - 10/06/2018 03:00:00","BZN|FR","Without Sequence","33.12","",""
"10/06/2018 03:00:00 - 10/06/2018 04:00:00","BZN|FR","Without Sequence","29.45","",""
"10/06/2018 04:00:00 - 10/06/2018 05:00:00","BZN|FR","Without Sequence","24.97","",""
"10/06/2018 05:00:00 - 10/06/2018 06:00:00","BZN|FR","Without Sequence","21.14","",""
"10/06/2018 06:00:00 - 10/06/2018 07:00:00","BZN|FR","Without Sequence","22.95","",""
"10/06/2018 07:00:00 - 10/06/2018 08:00:00","BZN|FR","Without Sequence","27.25","",""
"10/06/2018 08:00:00 - 10/06/2018 09:00:00","BZN|FR","Without Sequence","28.40","",""
"10/06/2018 09:00:00 - 10/06/2018 10:00:00","BZN|FR","Without Sequence","30.09","",""
"10/06/2018 10:00:00 - 10/06/2018 11:00:00","BZN|FR","Without Sequence","31.97","",""
"10/06/2018 11:00:00 - 10/06/2018 12:00:00","BZN|FR","Without Sequence","36.71","",""
"10/06/2018 12:00:00 - 10/06/2018 13:00:00","BZN|FR","Without Sequence","35.67","",""
"10/06/2018 13:00:00 - 10/06/2018 14:00:00","BZN|FR","Without Sequence","34.61","",""
"10/06/2018 14:00:00 - 10/06/2018 15:00:00","BZN|FR","Without Sequence","30.93","",""
"10/06/2018 15:00:00 - 10/06/2018 16:00:00","BZN|FR","Without Sequence","29.03","",""
"10/06/2018 16:00:00 - 10/06/2018 17:00:00","BZN|FR","Without Sequence","30.38","",""
"10/06/2018 17:00:00 - 10/06/2018 18:00:00","BZN|FR","Without Sequence","34.38","",""
"10/06/2018 18:00:00 - 10/06/2018 19:00:00","BZN|FR","Without Sequence","41.27","",""
"10/06/2018 19:00:00 - 10/06/2018 20:00:00","BZN|FR","Without Sequence","49.96","",""
"10/06/2018 20:00:00 - 10/06/2018 21:00:00","BZN|FR","Without Sequence","46.98","",""
"10/06/2018 21:00:00 - 10/06/2018 22:00:00","BZN|FR","Without Sequence","46.56","",""
"10/06/2018 22:00:00 - 10/06/2018 23:00:00","BZN|FR","Without Sequence","53.67","",""
"10/06/2018 23:00:00 - 11/06/2018 00:00:00","BZN|FR","Without Sequence","53.67","",""
"11/06/2018 00:00:00 - 11/06/2018 01:00:00","BZN|FR","Without Sequence","39.55","",""
"11/06/2018 01:00:00 - 11/06/2018 02:00:00","BZN|FR","Without Sequence","33.73","",""
"11/06/2018 02:00:00 - 11/06/2018 03:00:00","BZN|FR","Without Sequence","30.23","",""
"11/06/2018 03:00:00 - 11/06/2018 04:00:00","BZN|FR","Without Sequence","21.95","",""
"11/06/2018 04:00:00 - 11/06/2018 05:00:00","BZN|FR","Without Sequence","20.79","",""
"11/06/2018 05:00:00 - 11/06/2018 06:00:00","BZN|FR","Without Sequence","29.93","",""
"11/06/2018 06:00:00 - 11/06/2018 07:00:00","BZN|FR","Without Sequence","41.32","",""
"11/06/2018 07:00:00 - 11/06/2018 08:00:00","BZN|FR","Without Sequence","56.87","",""
"11/06/2018 08:00:00 - 11/06/2018 09:00:00","BZN|FR","Without Sequence","61.61","",""
"11/06/2018 09:00:00 - 11/06/2018 10:00:00","BZN|FR","Without Sequence","63.04","",""
"11/06/2018 10:00:00 - 11/06/2018 11:00:00","BZN|FR","Without Sequence","63.24","",""
"11/06/2018 11:00:00 - 11/06/2018 12:00:00","BZN|FR","Without Sequence","63.44","",""
"11/06/2018 12:00:00 - 11/06/2018 13:00:00","BZN|FR","Without Sequence","56.45","",""
"11/06/2018 13:00:00 - 11/06/2018 14:00:00","BZN|FR","Without Sequence","53.57","",""
"11/06/2018 14:00:00 - 11/06/2018 15:00:00","BZN|FR","Without Sequence","49.64","",""
"11/06/2018 15:00:00 - 11/06/2018 16:00:00","BZN|FR","Without Sequence","49.21","",""
"11/06/2018 16:00:00 - 11/06/2018 17:00:00","BZN|FR","Without Sequence","49.66","",""
"11/06/2018 17:00:00 - 11/06/2018 18:00:00","BZN|FR","Without Sequence","50.93","",""
"11/06/2018 18:00:00 - 11/06/2018 19:00:00","BZN|FR","Without Sequence","53.48","",""
"11/06/2018 19:00:00 - 11/06/2018 20:00:00","BZN|FR","Without Sequence","54.94","",""
"11/06/2018 20:00:00 - 11/06/2018 21:00:00","BZN|FR","Without Sequence","52.94","",""
"11/06/2018 21:00:00 - 11/06/2018 22:00:00","BZN|FR","Without Sequence","50.87","",""
"11/06/2018 22:00:00 - 11/06/2018 23:00:00","BZN|FR","Without Sequence","49.47","",""
"11/06/2018 23:00:00 - 12/06/2018 00:00:00","BZN|FR","Without Sequence","49.47","",""
"12/06/2018 00:00:00 - 12/06/2018 01:00:00","BZN|FR","Without Sequence","40.93","",""
"12/06/2018 01:00:00 - 12/06/2018 02:00:00","BZN|FR","Without Sequence","39.48","",""
"12/06/2018 02:00:00 - 12/06/2018 03:00:00","BZN|FR","Without Sequence","38.54","",""
"12/06/2018 03:00:00 - 12/06/2018 04:00:00","BZN|FR","Without Sequence","27.27","",""
"12/06/2018 04:00:00 - 12/06/2018 05:00:00","BZN|FR","Without Sequence","24.27","",""
"12/06/2018 05:00:00 - 12/06/2018 06:00:00","BZN|FR","Without Sequence","29.89","",""
"12/06/2018 06:00:00 - 12/06/2018 07:00:00","BZN|FR","Without Sequence","37.93","",""
"12/06/2018 07:00:00 - 12/06/2018 08:00:00","BZN|FR","Without Sequence","55.02","",""
"12/06/2018 08:00:00 - 12/06/2018 09:00:00","BZN|FR","Without Sequence","59.46","",""
"12/06/2018 09:00:00 - 12/06/2018 10:00:00","BZN|FR","Without Sequence","59.27","",""
"12/06/2018 10:00:00 - 12/06/2018 11:00:00","BZN|FR","Without Sequence","56.96","",""
"12/06/2018 11:00:00 - 12/06/2018 12:00:00","BZN|FR","Without Sequence","59.17","",""
"12/06/2018 12:00:00 - 12/06/2018 13:00:00","BZN|FR","Without Sequence","58.15","",""
"12/06/2018 13:00:00 - 12/06/2018 14:00:00","BZN|FR","Without Sequence","56.52","",""
"12/06/2018 14:00:00 - 12/06/2018 15:00:00","BZN|FR","Without Sequence","53.90","",""
"12/06/2018 15:00:00 - 12/06/2018 16:00:00","BZN|FR","Without Sequence","51.50","",""
"12/06/2018 16:00:00 - 12/06/2018 17:00:00","BZN|FR","Without Sequence","50.98","",""
"12/06/2018 17:00:00 - 12/06/2018 18:00:00","BZN|FR","Without Sequence","51.62","",""
"12/06/2018 18:00:00 - 12/06/2018 19:00:00","BZN|FR","Without Sequence","52.93","",""
"12/06/2018 19:00:00 - 12/06/2018 20:00:00","BZN|FR","Without Sequence","54.08","",""
"12/06/2018 20:00:00 - 12/06/2018 21:00:00","BZN|FR","Without Sequence","52.78","",""
"12/06/2018 21:00:00 - 12/06/2018 22:00:00","BZN|FR","Without Sequence","48.94","",""
"12/06/2018 22:00:00 - 12/06/2018 23:00:00","BZN|FR","Without Sequence","50.29","",""
"12/06/2018 23:00:00 - 13/06/2018 00:00:00","BZN|FR","Without Sequence","50.29","",""
"13/06/2018 00:00:00 - 13/06/2018 01:00:00","BZN|FR","Without Sequence","40.60","",""
"13/06/2018 01:00:00 - 13/06/2018 02:00:00","BZN|FR","Without Sequence","38.40","",""
"13/06/2018 02:00:00 - 13/06/2018 03:00:00","BZN|FR","Without Sequence","37.98","",""
"13/06/2018 03:00:00 - 13/06/2018 04:00:00","BZN|FR","Without Sequence","33.67","",""
"13/06/2018 04:00:00 - 13/06/2018 05:00:00","BZN|FR","Without Sequence","33.28","",""
"13/06/2018 05:00:00 - 13/06/2018 06:00:00","BZN|FR","Without Sequence","38.72","",""
"13/06/2018 06:00:00 - 13/06/2018 07:00:00","BZN|FR","Without Sequence","43.08","",""
"13/06/2018 07:00:00 - 13/06/2018 08:00:00","BZN|FR","Without Sequence","54.05","",""
"13/06/2018 08:00:00 - 13/06/2018 09:00:00","BZN|FR","Without Sequence","55.77","",""
"13/06/2018 09:00:00 - 13/06/2018 10:00:00","BZN|FR","Without Sequence","55.20","",""
"13/06/2018 10:00:00 - 13/06/2018 11:00:00","BZN|FR","Without Sequence","54.94","",""
"13/06/2018 11:00:00 - 13/06/2018 12:00:00","BZN|FR","Without Sequence","55.00","",""
"13/06/2018 12:00:00 - 13/06/2018 13:00:00","BZN|FR","Without Sequence","53.03","",""
"13/06/2018 13:00:00 - 13/06/2018 14:00:00","BZN|FR","Without Sequence","51.10","",""
"13/06/2018 14:00:00 - 13/06/2018 15:00:00","BZN|FR","Without Sequence","49.52","",""
"13/06/2018 15:00:00 - 13/06/2018 16:00:00","BZN|FR","Without Sequence","48.91","",""
"13/06/2018 16:00:00 - 13/06/2018 17:00:00","BZN|FR","Without Sequence","47.17","",""
"13/06/2018 17:00:00 - 13/06/2018 18:00:00","BZN|FR","Without Sequence","49.03","",""
"13/06/2018 18:00:00 - 13/06/2018 19:00:00","BZN|FR","Without Sequence","52.70","",""
"13/06/2018 19:00:00 - 13/06/2018 20:00:00","BZN|FR","Without Sequence","54.94","",""
"13/06/2018 20:00:00 - 13/06/2018 21:00:00","BZN|FR","Without Sequence","53.73","",""
"13/06/2018 21:00:00 - 13/06/2018 22:00:00","BZN|FR","Without Sequence","52.97","",""
"13/06/2018 22:00:00 - 13/06/2018 23:00:00","BZN|FR","Without Sequence","54.53","",""
"13/06/2018 23:00:00 - 14/06/2018 00:00:00","BZN|FR","Without Sequence","54.53","",""
"14/06/2018 00:00:00 - 14/06/2018 01:00:00","BZN|FR","Without Sequence","46.69","",""
"14/06/2018 01:00:00 - 14/06/2018 02:00:00","BZN|FR","Without Sequence","38.76","",""
"14/06/2018 02:00:00 - 14/06/2018 03:00:00","BZN|FR","Without Sequence","38.16","",""
"14/06/2018 03:00:00 - 14/06/2018 04:00:00","BZN|FR","Without Sequence","31.81","",""
"14/06/2018 04:00:00 - 14/06/2018 05:00:00","BZN|FR","Without Sequence","28.39","",""
"14/06/2018 05:00:00 - 14/06/2018 06:00:00","BZN|FR","Without Sequence","33.08","",""
"14/06/2018 06:00:00 - 14/06/2018 07:00:00","BZN|FR","Without Sequence","37.19","",""
"14/06/2018 07:00:00 - 14/06/2018 08:00:00","BZN|FR","Without Sequence","51.02","",""
"14/06/2018 08:00:00 - 14/06/2018 09:00:00","BZN|FR","Without Sequence","56.53","",""
