"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|FR","Without Sequence","37.09","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|FR","Without Sequence","33.92","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|FR","Without Sequence","33.92","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|FR","Without Sequence","16.67","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|FR","Without Sequence","11.73","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|FR","Without Sequence","6.86","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|FR","Without Sequence","0.55","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|FR","Without Sequence","2.45","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|FR","Without Sequence","13.51","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|FR","Without Sequence","23.96","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|FR","Without Sequence","33.39","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|FR","Without Sequence","37.79","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|FR","Without Sequence","36.93","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|FR","Without Sequence","39.11","",""
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|FR","Without Sequence","39.40","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|FR","Without Sequence","41.69","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|FR","Without Sequence","47.00","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|FR","Without Sequence","44.08","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|FR","Without Sequence","47.10","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|FR","Without Sequence","47.77","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|FR","Without Sequence","56.35","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|FR","Without Sequence","57.42","",""
"05/01/2018 19:00:00 - 05/01/2018 20:00:00","BZN|FR","Without Sequence","53.99","",""
